Java HotSpot(TM) 64-Bit Server VM warning: ignoring option PermSize=128m; support was removed in 8.0
Java HotSpot(TM) 64-Bit Server VM warning: UseCMSCompactAtFullCollection is deprecated and will likely be removed in a future release.
log4j:WARN No appenders could be found for logger (com.alibaba.dubbo.common.logger.LoggerFactory).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
[2017-08-23 21:37:10] Dubbo service server started!
[21:51:24] Hello world333, request from consumer: /192.168.31.210:59621
[21:51:26] Hello world334, request from consumer: /192.168.31.210:59621
[21:51:28] Hello world335, request from consumer: /192.168.31.210:59621
[21:51:30] Hello world336, request from consumer: /192.168.31.210:59621
[21:51:32] Hello world337, request from consumer: /192.168.31.210:59621
[21:51:34] Hello world338, request from consumer: /192.168.31.210:59621
[21:51:36] Hello world339, request from consumer: /192.168.31.210:59621
[21:51:38] Hello world340, request from consumer: /192.168.31.210:59621
[21:51:40] Hello world341, request from consumer: /192.168.31.210:59621
[21:51:42] Hello world342, request from consumer: /192.168.31.210:59621
[21:51:44] Hello world343, request from consumer: /192.168.31.210:59621
[21:51:46] Hello world344, request from consumer: /192.168.31.210:59621
[21:51:48] Hello world345, request from consumer: /192.168.31.210:59621
[21:51:50] Hello world346, request from consumer: /192.168.31.210:59621
[21:51:52] Hello world347, request from consumer: /192.168.31.210:59621
[21:51:54] Hello world348, request from consumer: /192.168.31.210:59621
[21:51:56] Hello world349, request from consumer: /192.168.31.210:59621
[21:51:58] Hello world350, request from consumer: /192.168.31.210:59621
[21:52:00] Hello world351, request from consumer: /192.168.31.210:59621
[21:52:02] Hello world352, request from consumer: /192.168.31.210:59621
[21:52:04] Hello world353, request from consumer: /192.168.31.210:59621
[21:52:06] Hello world354, request from consumer: /192.168.31.210:59621
[21:52:08] Hello world355, request from consumer: /192.168.31.210:59621
[21:52:10] Hello world356, request from consumer: /192.168.31.210:59621
[21:52:12] Hello world357, request from consumer: /192.168.31.210:59621
[21:52:14] Hello world358, request from consumer: /192.168.31.210:59621
[21:52:16] Hello world359, request from consumer: /192.168.31.210:59621
[21:52:18] Hello world360, request from consumer: /192.168.31.210:59621
[21:52:20] Hello world361, request from consumer: /192.168.31.210:59621
[21:52:22] Hello world362, request from consumer: /192.168.31.210:59621
[21:52:24] Hello world363, request from consumer: /192.168.31.210:59621
[21:52:26] Hello world364, request from consumer: /192.168.31.210:59621
[21:52:28] Hello world365, request from consumer: /192.168.31.210:59621
[21:52:30] Hello world366, request from consumer: /192.168.31.210:59621
[21:52:32] Hello world367, request from consumer: /192.168.31.210:59621
[21:52:34] Hello world368, request from consumer: /192.168.31.210:59621
[21:52:36] Hello world369, request from consumer: /192.168.31.210:59621
[21:52:38] Hello world370, request from consumer: /192.168.31.210:59621
[21:52:40] Hello world371, request from consumer: /192.168.31.210:59621
[21:52:42] Hello world372, request from consumer: /192.168.31.210:59621
[21:52:44] Hello world373, request from consumer: /192.168.31.210:59621
[21:52:46] Hello world374, request from consumer: /192.168.31.210:59621
[21:52:48] Hello world375, request from consumer: /192.168.31.210:59621
[21:52:50] Hello world376, request from consumer: /192.168.31.210:59621
[21:52:52] Hello world377, request from consumer: /192.168.31.210:59621
[21:52:54] Hello world378, request from consumer: /192.168.31.210:59621
[21:52:56] Hello world379, request from consumer: /192.168.31.210:59621
[21:52:58] Hello world380, request from consumer: /192.168.31.210:59621
[21:53:00] Hello world381, request from consumer: /192.168.31.210:59621
[21:53:02] Hello world382, request from consumer: /192.168.31.210:59621
[21:53:04] Hello world383, request from consumer: /192.168.31.210:59621
[21:53:06] Hello world384, request from consumer: /192.168.31.210:59621
[21:53:08] Hello world385, request from consumer: /192.168.31.210:59621
[21:53:10] Hello world386, request from consumer: /192.168.31.210:59621
[21:53:12] Hello world387, request from consumer: /192.168.31.210:59621
[21:53:14] Hello world388, request from consumer: /192.168.31.210:59621
[21:53:16] Hello world389, request from consumer: /192.168.31.210:59621
[21:53:18] Hello world390, request from consumer: /192.168.31.210:59621
[21:53:20] Hello world391, request from consumer: /192.168.31.210:59621
[21:53:22] Hello world392, request from consumer: /192.168.31.210:59621
[21:53:24] Hello world393, request from consumer: /192.168.31.210:59621
[21:53:26] Hello world394, request from consumer: /192.168.31.210:59621
[21:53:28] Hello world395, request from consumer: /192.168.31.210:59621
[21:53:30] Hello world396, request from consumer: /192.168.31.210:59621
[21:53:32] Hello world397, request from consumer: /192.168.31.210:59621
[21:53:34] Hello world398, request from consumer: /192.168.31.210:59621
[21:53:36] Hello world399, request from consumer: /192.168.31.210:59621
[21:53:38] Hello world400, request from consumer: /192.168.31.210:59621
[21:53:40] Hello world401, request from consumer: /192.168.31.210:59621
[21:53:42] Hello world402, request from consumer: /192.168.31.210:59621
[21:53:44] Hello world403, request from consumer: /192.168.31.210:59621
[21:53:47] Hello world404, request from consumer: /192.168.31.210:59621
